"startzeit","endzeit","messstelle","messwert","messstationId","indikator"
2024-10-26,2024-10-27,"Konstanz, Wallgutstrasse","9","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-27,2024-10-28,"Konstanz, Wallgutstrasse","14","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-27,2024-10-28,"Frauenfeld, Bahnhofstrasse","11.72","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-28,2024-10-29,"Konstanz, Wallgutstrasse","12","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-28,2024-10-29,"Weinfelden, Berufsbildungszentrum","12.66","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-10-28,2024-10-29,"Frauenfeld, Bahnhofstrasse","13.72","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-29,2024-10-30,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-29,2024-10-30,"Frauenfeld, Bahnhofstrasse","9.58","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-30,2024-10-31,"Konstanz, Wallgutstrasse","12","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-30,2024-10-31,"Frauenfeld, Bahnhofstrasse","8.27","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-31,2024-11-01,"Konstanz, Wallgutstrasse","13","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-31,2024-11-01,"Frauenfeld, Bahnhofstrasse","11.45","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-01,2024-11-02,"Konstanz, Wallgutstrasse","22","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-01,2024-11-02,"Weinfelden, Berufsbildungszentrum","17.29","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-11-01,2024-11-02,"Frauenfeld, Bahnhofstrasse","16.60","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-02,2024-11-03,"Konstanz, Wallgutstrasse","12","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-02,2024-11-03,"Frauenfeld, Bahnhofstrasse","12.74","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-03,2024-11-04,"Konstanz, Wallgutstrasse","17","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-03,2024-11-04,"Frauenfeld, Bahnhofstrasse","13.52","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-04,2024-11-05,"Konstanz, Wallgutstrasse","14","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-04,2024-11-05,"Frauenfeld, Bahnhofstrasse","14.01","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-05,2024-11-06,"Konstanz, Wallgutstrasse","25","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-05,2024-11-06,"Weinfelden, Berufsbildungszentrum","17.82","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-11-05,2024-11-06,"Frauenfeld, Bahnhofstrasse","18.37","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-06,2024-11-07,"Konstanz, Wallgutstrasse","15","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-06,2024-11-07,"Frauenfeld, Bahnhofstrasse","14.24","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-07,2024-11-08,"Konstanz, Wallgutstrasse","18","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-08,2024-11-09,"Konstanz, Wallgutstrasse","17","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-08,2024-11-09,"Frauenfeld, Bahnhofstrasse","17.42","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-09,2024-11-10,"Konstanz, Wallgutstrasse","23","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-09,2024-11-10,"Weinfelden, Berufsbildungszentrum","16.82","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-11-09,2024-11-10,"Frauenfeld, Bahnhofstrasse","15.54","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-10,2024-11-11,"Konstanz, Wallgutstrasse","9","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-10,2024-11-11,"Frauenfeld, Bahnhofstrasse","10.03","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-11,2024-11-12,"Konstanz, Wallgutstrasse","18","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-11,2024-11-12,"Frauenfeld, Bahnhofstrasse","13.86","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-12,2024-11-13,"Konstanz, Wallgutstrasse","7","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-12,2024-11-13,"Frauenfeld, Bahnhofstrasse","8.61","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-13,2024-11-14,"Konstanz, Wallgutstrasse","14","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-13,2024-11-14,"Weinfelden, Berufsbildungszentrum","12.03","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-11-13,2024-11-14,"Frauenfeld, Bahnhofstrasse","11.81","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-14,2024-11-15,"Konstanz, Wallgutstrasse","10","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-14,2024-11-15,"Frauenfeld, Bahnhofstrasse","9.74","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-15,2024-11-16,"Konstanz, Wallgutstrasse","13","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-15,2024-11-16,"Frauenfeld, Bahnhofstrasse","11.06","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-16,2024-11-17,"Konstanz, Wallgutstrasse","16","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-16,2024-11-17,"Frauenfeld, Bahnhofstrasse","14.21","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-17,2024-11-18,"Konstanz, Wallgutstrasse","14","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-17,2024-11-18,"Weinfelden, Berufsbildungszentrum","12.41","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-11-17,2024-11-18,"Frauenfeld, Bahnhofstrasse","12.58","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-18,2024-11-19,"Konstanz, Wallgutstrasse","5","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-18,2024-11-19,"Frauenfeld, Bahnhofstrasse","5.72","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-19,2024-11-20,"Konstanz, Wallgutstrasse","3","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-20,2024-11-21,"Konstanz, Wallgutstrasse","3","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-20,2024-11-21,"Frauenfeld, Bahnhofstrasse","3.69","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-21,2024-11-22,"Konstanz, Wallgutstrasse","5","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-21,2024-11-22,"Weinfelden, Berufsbildungszentrum","5.12","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-11-21,2024-11-22,"Frauenfeld, Bahnhofstrasse","5.77","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-22,2024-11-23,"Konstanz, Wallgutstrasse","4","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-22,2024-11-23,"Frauenfeld, Bahnhofstrasse","4.75","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-23,2024-11-24,"Konstanz, Wallgutstrasse","9","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-23,2024-11-24,"Frauenfeld, Bahnhofstrasse","9.46","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-24,2024-11-25,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-24,2024-11-25,"Frauenfeld, Bahnhofstrasse","10.88","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-25,2024-11-26,"Konstanz, Wallgutstrasse","15","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-25,2024-11-26,"Weinfelden, Berufsbildungszentrum","18.64","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-11-25,2024-11-26,"Frauenfeld, Bahnhofstrasse","18.58","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-26,2024-11-27,"Konstanz, Wallgutstrasse","8","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-26,2024-11-27,"Frauenfeld, Bahnhofstrasse","6.64","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-27,2024-11-28,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-27,2024-11-28,"Frauenfeld, Bahnhofstrasse","15.09","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-28,2024-11-29,"Konstanz, Wallgutstrasse","6","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-28,2024-11-29,"Frauenfeld, Bahnhofstrasse","5.73","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-29,2024-11-30,"Konstanz, Wallgutstrasse","9","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-29,2024-11-30,"Weinfelden, Berufsbildungszentrum","11.02","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-11-29,2024-11-30,"Frauenfeld, Bahnhofstrasse","8.72","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-11-30,2024-12-01,"Konstanz, Wallgutstrasse","12","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-11-30,2024-12-01,"Frauenfeld, Bahnhofstrasse","11.04","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-12-01,2024-12-02,"Konstanz, Wallgutstrasse","17","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-12-02,2024-12-03,"Konstanz, Wallgutstrasse","23","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-12-02,2024-12-03,"Frauenfeld, Bahnhofstrasse","20.01","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-12-03,2024-12-04,"Konstanz, Wallgutstrasse","5","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-12-03,2024-12-04,"Weinfelden, Berufsbildungszentrum","8.88","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-12-03,2024-12-04,"Frauenfeld, Bahnhofstrasse","6.11","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-12-04,2024-12-05,"Konstanz, Wallgutstrasse","7","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-12-04,2024-12-05,"Frauenfeld, Bahnhofstrasse","7.43","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-12-05,2024-12-06,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-12-05,2024-12-06,"Frauenfeld, Bahnhofstrasse","10.04","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-12-06,2024-12-07,"Konstanz, Wallgutstrasse","7","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-12-06,2024-12-07,"Frauenfeld, Bahnhofstrasse","6.51","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-12-07,2024-12-08,"Konstanz, Wallgutstrasse","5","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-12-07,2024-12-08,"Weinfelden, Berufsbildungszentrum","6.65","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
